accel_x,accel_y,accel_z,variance,variance,mean_x,mean_y,covarianceX,covarianceY,whiteNoiseX,whiteNoiseY
5.33E-04,-0.003320696,0.14738396,0.000422879,0.002743172,1.10E-04,-0.000577524,1.79E-07,7.52E-06,0.009458568,0.061335345
8.27E-04,-0.003378165,0.1474657,,,,,,,,
0.002720475,-0.001445517,0.14465126,,,,,,,,
0.001208259,-7.03E-04,0.14547098,,,,,,,,
0.001558649,1.09E-04,0.14739719,,,,,,,,
0.001577876,-5.18E-04,0.15095082,,,,,,,,
0.003113404,3.31E-04,0.1488705,,,,,,,,
0.003327202,9.01E-04,0.1473576,,,,,,,,
0.001947024,-3.23E-04,0.14531638,,,,,,,,
-4.93E-04,-0.001146269,0.14792253,,,,,,,,
2.73E-04,-0.001178653,0.14718123,,,,,,,,
2.17E-04,-0.001879416,0.14383918,,,,,,,,
-2.20E-04,-0.001516105,0.1437165,,,,,,,,
8.06E-05,-0.001611694,0.14514248,,,,,,,,
0.002773518,-0.00415157,0.14578158,,,,,,,,
8.58E-04,-0.005747234,0.14439665,,,,,,,,
-6.09E-04,-0.004033562,0.14168656,,,,,,,,
-3.28E-04,-0.001719183,0.14093524,,,,,,,,
-0.0061108,-0.003968407,0.14617942,,,,,,,,
-0.008982359,-0.00572902,0.14745009,,,,,,,,
-0.003746314,-0.003856405,0.1447066,,,,,,,,
-0.004502039,-0.001709555,0.14209619,,,,,,,,
-0.005747934,-0.003122676,0.1447435,,,,,,,,
-0.005505768,-0.004113222,0.14730118,,,,,,,,
-0.003150898,-0.003366311,0.14895219,,,,,,,,
-0.00245767,-0.001279975,0.14604159,,,,,,,,
-0.003045708,-8.96E-04,0.14419907,,,,,,,,
-0.005751284,-0.001083055,0.14817443,,,,,,,,
-0.002970081,-0.002302334,0.15092598,,,,,,,,
-0.003800676,-0.004696276,0.14876848,,,,,,,,
-0.003327849,-0.004470569,0.14574187,,,,,,,,
-4.58E-04,-0.003097806,0.14757596,,,,,,,,
-0.002148115,-0.004314035,0.15043621,,,,,,,,
1.65E-04,-0.003259891,0.15121908,,,,,,,,
0.001634043,-0.003400313,0.14716066,,,,,,,,
4.89E-04,-0.003648816,0.14505999,,,,,,,,
0.001147896,-0.002543015,0.14575532,,,,,,,,
0.002960585,-0.003018383,0.14790785,,,,,,,,
0.002822846,-0.002461642,0.14695013,,,,,,,,
0.001230637,-0.004470355,0.14413595,,,,,,,,
0.001295107,-0.003615929,0.14333576,,,,,,,,
0.001101669,-0.003233779,0.14688441,,,,,,,,
-7.15E-04,-0.002126192,0.14920057,,,,,,,,
7.83E-05,-0.003289455,0.14542234,,,,,,,,
4.29E-04,-0.002830419,0.14292172,,,,,,,,
0.003027301,-0.001077492,0.14470896,,,,,,,,
-1.88E-04,-0.002147968,0.14744946,,,,,,,,
-9.08E-04,-0.002223781,0.14553231,,,,,,,,
5.20E-04,6.26E-05,0.1447063,,,,,,,,
-0.00214589,0.001111303,0.14211927,,,,,,,,
-0.002964906,7.58E-06,0.14355108,,,,,,,,
-0.002004007,-6.48E-04,0.14488772,,,,,,,,
-0.001697178,-9.83E-04,0.14454255,,,,,,,,
-0.004333118,9.23E-04,0.14381924,,,,,,,,
-0.002602431,-5.71E-04,0.14471531,,,,,,,,
0.001531443,5.43E-04,0.1481544,,,,,,,,
-0.002957843,4.58E-04,0.1507854,,,,,,,,
