device_mac,rssi_mon1,rssi_mon2,rssi_mon3,,
b0:47:bf:92:74:97,-45,,,-44.288,0.712
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-53,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-53,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-51,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-53,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-51,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-51,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-53,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-53,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-53,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-45,,,,
b0:47:bf:92:74:97,-43,,,,
b0:47:bf:92:74:97,-53,,,,
